CD_CANDIDATO;NR_VOTAVEL;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
893518561;70770;DEPUTADO ESTADUAL;ANTONIO GILBERTO DA SILVA;70;AVANTE;15/04/1966;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893596648;28388;DEPUTADO ESTADUAL;ANTONIO TARCIDO MARQUES FERNANDES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;26/09/1974;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893516210;50420;DEPUTADO ESTADUAL;FERNANDO TAVARES ARAÚJO DA SILVA;50;PARTIDO SOCIALISMO E LIBERDADE;03/03/1985;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893532777;3517;DEPUTADO FEDERAL;JUAREZ DE CARVALHO COSTA;35;PARTIDO DA MULHER BRASILEIRA;04/12/1976;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
893501693;1474;DEPUTADO FEDERAL;BOLIVAR FUNDÃO FILHO;14;PARTIDO TRABALHISTA BRASILEIRO;08/07/1963;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893507486;1380;DEPUTADO FEDERAL;JILMAR AUGUSTINHO TATTO;13;PARTIDO DOS TRABALHADORES;25/06/1965;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893540697;2006;DEPUTADO FEDERAL;JOAQUIM TOMAZ DOS SANTOS;20;PARTIDO SOCIAL CRISTÃO;29/07/1955;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;SOLTEIRO(A)
893618154;36033;DEPUTADO ESTADUAL;JORGE MOTTA CARNEIRO;36;AGIR;15/07/1972;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893540110;33007;DEPUTADO ESTADUAL;SEBASTIÃO DE MESQUITA SILVA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;20/01/1971;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
893596699;28765;DEPUTADO ESTADUAL;LUCAS MARIANO DE CAMPOS;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;14/12/1986;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
893596694;28056;DEPUTADO ESTADUAL;THIAGO FELIPE NEVES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;05/07/1984;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
893511732;14851;DEPUTADO ESTADUAL;JURACILDE DE LIMA PINTO;14;PARTIDO TRABALHISTA BRASILEIRO;17/01/1973;MASCULINO;ENSINO MÉDIO INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893508788;1199;DEPUTADO FEDERAL;EDICARLOS VIEIRA;11;PROGRESSISTAS;11/02/1979;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893613979;3688;DEPUTADO FEDERAL;MARIO JOSE DE SOUZA;36;AGIR;21/09/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893503071;77345;DEPUTADO ESTADUAL;WILLIAM CLEMENTE CORREA;77;SOLIDARIEDADE;29/04/1978;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
893509115;11890;DEPUTADO ESTADUAL;ALBERTO SABINO DE OLIVEIRA;11;PROGRESSISTAS;06/04/1947;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
893596617;28280;DEPUTADO ESTADUAL;CLAUDIO MARTINS NEVES DE FRANCA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;25/04/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893618176;36779;DEPUTADO ESTADUAL;JOSE DE OLIVEIRA LEME FILHO;36;AGIR;08/07/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893509149;11900;DEPUTADO ESTADUAL;KLEBER FERREIRA MARUXO;11;PROGRESSISTAS;08/10/1973;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
893501656;1447;DEPUTADO FEDERAL;MARCILIO DUARTE LIMA;14;PARTIDO TRABALHISTA BRASILEIRO;22/03/1941;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;VIÚVO(A)
893539110;35099;DEPUTADO ESTADUAL;JOÃO DA CONCEIÇÃO SILVA PAP;35;PARTIDO DA MULHER BRASILEIRA;22/07/1951;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893517116;4022;DEPUTADO FEDERAL;WESLEY CASA FORTE MARIANO;40;PARTIDO SOCIALISTA BRASILEIRO;08/12/1979;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893596704;28528;DEPUTADO ESTADUAL;FABIAN ALVES RAMOS;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18/12/1967;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
893508180;2268;DEPUTADO FEDERAL;MAURICIO BERNARDINO SOARES;22;PARTIDO LIBERAL;30/07/1978;MASCULINO;SUPERIOR COMPLETO;PRETA;OUTROS;CASADO(A)
893498989;44677;DEPUTADO ESTADUAL;RODRIGO ADRIANO DA SILVA;44;UNIÃO BRASIL;24/06/1980;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
893508271;23623;DEPUTADO ESTADUAL;ROBERTO TURCHI DE MORAIS;23;CIDADANIA;29/07/1959;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
893540492;12300;DEPUTADO ESTADUAL;ANTONIO CARLOS TRIGO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;03/08/1967;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893613980;3610;DEPUTADO FEDERAL;MOACIR RODRIGUES FERNANDES;36;AGIR;22/04/1964;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
893537410;2111;DEPUTADO FEDERAL;EDUARDO DIAS REAL;21;PARTIDO COMUNISTA BRASILEIRO;30/01/1987;MASCULINO;SUPERIOR INCOMPLETO;PARDA;OUTROS;SOLTEIRO(A)
893612709;2815;DEPUTADO FEDERAL;REGINALDO BELARMINO DA SILVA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;09/04/1968;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893596619;28456;DEPUTADO ESTADUAL;ADEMILSON RAMOS DA SILVA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;17/09/1969;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893540130;33912;DEPUTADO ESTADUAL;JOSÉ LUIZ ALVES NETO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;13/01/1974;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;CASADO(A)
893548919;40345;DEPUTADO ESTADUAL;ANDERSON FREITAS BARBOSA PASSOS;40;PARTIDO SOCIALISTA BRASILEIRO;03/10/1987;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
893613998;3661;DEPUTADO FEDERAL;ROBERVAL BARBOSA DE JESUS;36;AGIR;03/01/1977;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA;OUTROS;CASADO(A)
893518601;70300;DEPUTADO ESTADUAL;MATIAS GERALDO MUNIZ;70;AVANTE;28/10/1975;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PRETA;OUTROS;CASADO(A)
893618193;36017;DEPUTADO ESTADUAL;ALENATO MARTINS VIDAL;36;AGIR;17/02/1961;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA;OUTROS;DIVORCIADO(A)
893498889;4416;DEPUTADO FEDERAL;LUSINEIDE NEVES BARRETO;44;UNIÃO BRASIL;16/07/1965;FEMININO;LÊ E ESCREVE;PARDA;OUTROS;SOLTEIRO(A)
893498960;44767;DEPUTADO ESTADUAL;CECILIA CLAUDINO GOMES DO AMARAL PEREIRA;44;UNIÃO BRASIL;22/02/1956;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893506957;22400;DEPUTADO ESTADUAL;MARILZA JOANA GARCIA DE MELO;22;PARTIDO LIBERAL;24/06/1969;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893539076;35789;DEPUTADO ESTADUAL;VALDIRENE SANTOS DA SILVA;35;PARTIDO DA MULHER BRASILEIRA;29/08/1969;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893540432;12008;DEPUTADO ESTADUAL;PATRYCIA FACIOLO DOS SANTOS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;01/08/2000;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893507154;1967;DEPUTADO FEDERAL;VALDETE GOMES DUTRA PEREIRA;19;PODEMOS;19/01/1971;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893501774;5520;DEPUTADO FEDERAL;CÉLIA RAMOS DE JESUS FEITOSA;55;PARTIDO SOCIAL DEMOCRÁTICO;25/08/1975;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;DIVORCIADO(A)
893613999;3628;DEPUTADO FEDERAL;VIVIANE RODRIGUES DA SILVA AUGUSTO;36;AGIR;22/08/1968;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893613993;3674;DEPUTADO FEDERAL;DAGMAR PEREIRA DE SOUZA MOITINHO DE LIMA CRUZ;36;AGIR;19/07/1976;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893502922;7791;DEPUTADO FEDERAL;LORENY MAYARA CAETANO ROBERTO;77;SOLIDARIEDADE;11/07/1991;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893613975;3624;DEPUTADO FEDERAL;LUCIANE SANDRA CAMBUIM;36;AGIR;11/04/1971;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893540721;2079;DEPUTADO FEDERAL;ANA PAULA TOSIN;20;PARTIDO SOCIAL CRISTÃO;21/07/1981;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893540116;33133;DEPUTADO ESTADUAL;ALESSANDRA VECCHIO SOBRINHO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;12/03/1977;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893618200;36117;DEPUTADO ESTADUAL;SILMARA CRISTIANE DA SILVA POMPOLLO;36;AGIR;01/03/1976;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893509122;11321;DEPUTADO ESTADUAL;ELISANGELA ALCANTARA DA SILVA GONZALEZ;11;PROGRESSISTAS;04/11/1980;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893518939;7001;DEPUTADO FEDERAL;NORMA ELIZA HIROKO OTANI MORATO;70;AVANTE;18/11/1984;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893613988;3623;DEPUTADO FEDERAL;SÔNIA MELHADO DE MORAIS;36;AGIR;16/03/1973;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893612731;2824;DEPUTADO FEDERAL;JESSICA PASCOAL ALVES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;19/04/1993;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
893503102;77241;DEPUTADO ESTADUAL;MARIA DE LOURDES DO NASCIMENTO NUNES;77;SOLIDARIEDADE;01/06/1971;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA;OUTROS;CASADO(A)
893510629;1822;DEPUTADO FEDERAL;PATRICIA SILVA ZANELLA;18;REDE SUSTENTABILIDADE;05/05/1996;FEMININO;SUPERIOR COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
893516180;50300;DEPUTADO ESTADUAL;KEITCHELE LIMA DA SILVA;50;PARTIDO SOCIALISMO E LIBERDADE;08/04/1991;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;SOLTEIRO(A)
893540724;2075;DEPUTADO FEDERAL;MARIA DA GUIA ALVES DA ROCHA;20;PARTIDO SOCIAL CRISTÃO;28/02/1975;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;VIÚVO(A)
893506987;22200;DEPUTADO ESTADUAL;DONIZETE ALVES BARBOSA;22;PARTIDO LIBERAL;24/11/1975;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;CASADO(A)
893518550;70088;DEPUTADO ESTADUAL;KELLY VESCO MOZZONE;70;AVANTE;27/12/1977;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SEPARADO(A) JUDICIALMENTE
893501832;55055;DEPUTADO ESTADUAL;CAROLINE STEINMETZ;55;PARTIDO SOCIAL DEMOCRÁTICO;03/02/1976;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893508185;2272;DEPUTADO FEDERAL;ANA SILVIA GOES DE SOUZA;22;PARTIDO LIBERAL;12/05/1980;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
893498836;800;2º SUPLENTE;SELMA MARIA DE ALMEIDA;80;UNIDADE POPULAR;23/10/1972;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
893509112;11022;DEPUTADO ESTADUAL;LETICIA AGUIAR RESENDE ALVES;11;PROGRESSISTAS;16/05/1980;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
893509089;11227;DEPUTADO ESTADUAL;MARIA APARECIDA DE JESUS;11;PROGRESSISTAS;27/07/1956;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
893547398;4590;DEPUTADO FEDERAL;ERIKA FERNANDA MATOS DOS SANTOS;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;13/01/1994;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
893511710;14567;DEPUTADO ESTADUAL;LILIANE MARIA DA SILVA PAES;14;PARTIDO TRABALHISTA BRASILEIRO;14/12/1986;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;CASADO(A)
893536395;10699;DEPUTADO ESTADUAL;AUREA ROCHA;10;REPUBLICANOS;23/06/1950;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893511789;14113;DEPUTADO ESTADUAL;KATIA REGINA ROSA GOMES;14;PARTIDO TRABALHISTA BRASILEIRO;04/09/1972;FEMININO;SUPERIOR COMPLETO;PRETA;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;SOLTEIRO(A)
893540705;2023;DEPUTADO FEDERAL;CARLOS ALBERTO VEIGA DE QUADROS;20;PARTIDO SOCIAL CRISTÃO;22/02/1972;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;CASADO(A)
893494545;3021;DEPUTADO FEDERAL;MARCO ANTONIO DE SOUZA PINTO;30;PARTIDO NOVO;12/09/1963;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;DIVORCIADO(A)
893540095;33000;DEPUTADO ESTADUAL;LUCCAS SANTOS DA CUNHA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;13/12/1996;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;SOLTEIRO(A)
893501698;1423;DEPUTADO FEDERAL;RODRIGO PIERNAS ANDOLFATO;14;PARTIDO TRABALHISTA BRASILEIRO;23/02/1975;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;CASADO(A)
893494524;3010;DEPUTADO FEDERAL;HUMBERTO JANTIM NETO;30;PARTIDO NOVO;03/07/1982;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;SOLTEIRO(A)
