ID GESAC;UF;Cod_IBGE;MunicÍpio;Área;Estabelecimento;Tipologia;Situação;Tipo_Contrato
40397;PB;2513406;Santa Luzia;Urbano;Kit - Biblioteca Publica Municipal Euclides Da Nobrega;Biblioteca;Instalado;GESAC
40404;PB;2511905;Pitimbu;Urbano;POLO UAB PITIMBU;UAB;Instalado;GESAC
40406;PB;2509602;Monte Horebe;Rural;Telecentro Coep Batalha  Associacao De Desenvolvimento Comunitario Dos Produ;Telecentro;Instalado;GESAC
40407;PB;2509107;Mari;Urbano;POLO UAB MARI;UAB;Instalado;GESAC
40410;PB;2507606;Juarez Távora;Rural;Associacao Dos Assentados Margarida Maria Alves  Gesac 2;Assentamento;Instalado;GESAC
40411;PB;2507309;Jacaraú;Rural;EMEIF JOSE JARDIM CORREIA TETEO;Escola;Instalado;GESAC
40414;PB;2505907;Emas;Urbano;Biblioteca Publica Municipal Exprefeito Antonio  Leite Loureiro;Biblioteca;Instalado;GESAC
40415;PB;2505808;Duas Estradas;Urbano;POLO UAB EMEF PROFESSORA MARIA DUTRA;UAB;Instalado;GESAC
40416;PB;2505238;Cuité de Mamanguape;Urbano;POLO UAB POLO MUNICIPAL DE APOIO PRESENCIAL DE CUITE DE MAMANGUAPE;UAB;Instalado;GESAC
40417;PB;2504850;Coxixola;Rural;Associacao Dos Pequenos Produtores Rurais Do Projeto De Assentamento De Asa Branca;Assentamento;Instalado;GESAC
40420;PB;2504009;Campina Grande;Urbano;Kit - Centro De Tecnologia Educacional Prof Severino Loureiro;Escola;Instalado;GESAC
40422;PB;2503704;Cajazeiras;Rural;Associacao Comunitaria Do Sitio Barreiros;Assentamento;Instalado;GESAC
40424;PB;2503100;Cabaceiras;Rural;Associacao Dos Agricultores Familiares Do Projeto De  Assentamento Serra Do M;Assentamento;Instalado;GESAC
40425;PB;2502409;Bonito de Santa Fé;Rural;Nucleo Integracao Rural Pereiros I;Assentamento;Instalado;GESAC
40426;PB;2501401;Baía da Traição;Rural;EMEF MARIA DAS DORES BORGES;Escola;Instalado;GESAC
40429;PB;2500304;Alagoa Grande;Urbano;POLO UAB POLO MUNICIPAL DE APOIO PRESENCIAL DE ALAGOA GRANDE;UAB;Instalado;GESAC
40430;PB;2500304;Alagoa Grande;Rural;EMEIF CANDIDO REGIS DE BRITO;Escola;Instalado;GESAC
40435;PA;1507953;Tailândia;Urbano;POLO UAB EMEF PROF MARIA DO SOCORRO RICARTE LOPES;UAB;Instalado;GESAC
40436;PA;1507805;Senador José Porfírio;Urbano;Centro De Inclusao Digital De Senador Jose Porfirio  P;Telecentro;Instalado;GESAC
40438;PA;1507300;São Félix do Xingu;Urbano;E M E F MARECHAL RONDON;Escola;Instalado;GESAC
40439;PA;1507300;São Félix do Xingu;Urbano;E M E F FILOMENO DE SOUSA REIS;Escola;Instalado;GESAC
40442;PA;1507300;São Félix do Xingu;Rural;Fab/Destacamento De Controle Do Espaco Aereo  Sao Felix Do Xingu;Posto de Fronteira;Instalado;GESAC
40443;PA;1506807;Santarém;Rural;Mb/Delegacia Fluvial De Santarem;Posto de Fronteira;Instalado;GESAC
40444;PA;1506807;Santarém;Rural;Eb/8 Batalhao De Engenharia De Construcao;Posto de Fronteira;Instalado;GESAC
40447;PA;1506807;Santarém;Rural;Fab/Destacamento De Controle Do Espaco Aereo  Santarem;Posto de Fronteira;Instalado;GESAC
40451;PA;1506302;Salvaterra;Rural;E.M.E.I.F QUILOMBOLA DE BACABAL MANOEL RAIMUNDO DA SILVA;Quilombola;Instalado;GESAC
40453;PA;1505908;Porto de Moz;Urbano;Secretaria Municipal De Trabalho E Promocao Social  Semuts;Outros;Instalado;GESAC
40454;PA;1505908;Porto de Moz;Rural;Centro De Inclusao Digital De Porto De Moz  Projeto To;Telecentro;Instalado;GESAC
40455;PA;1505908;Porto de Moz;Rural;Resex Verde Para Sempre;Resex;Instalado;GESAC
40457;PA;1505502;Paragominas;Rural;E M E F COMUNITARIA DO URAIM;Escola;Instalado;GESAC
40460;PA;1505106;Óbidos;Urbano;E M E F FELIPE PATRONI;Escola;Instalado;GESAC
40462;PA;1505106;Óbidos;Rural;1º PELOTÃO DE FRONTEIRA -TIRIÓS;Posto de Fronteira;Instalado;GESAC
40463;PA;1505064;Novo Repartimento;Urbano;E M E F WALDIR RIBEIRO DE ALMEIDA;Escola;Instalado;GESAC
40469;PA;1504208;Marabá;Urbano;Eb/Hospital De Guarnicao De Maraba Qg 8 Rm;Posto de Fronteira;Instalado;GESAC
40472;PA;1503903;Juruti;Rural;Associacao Das Comunidades Da Regiao De Juruti Velho  Acorjuve;Assentamento;Instalado;GESAC
40473;PA;1503903;Juruti;Rural;E M E I F MIRIAM BENITAH;Escola;Instalado;GESAC
40474;PA;1503754;Jacareacanga;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Jacareacanga;Posto de Fronteira;Instalado;GESAC
40475;PA;1503754;Jacareacanga;Rural;Saude Indigena;Indígena;Instalado;GESAC
40476;PA;1503705;Itupiranga;Urbano;Centro Pofissionalizante De Itupiranga/Prefeitura Municipal;Escola;Instalado;GESAC
40480;PA;1503101;Gurupá;Rural;Ataic  Associacao Dos Trabalhadores Agroextrativistas Da Ilha Das Cinzas;Pesquisa;Instalado;GESAC
40482;PA;1502954;Eldorado do Carajás;Rural;Assentamento 17 De Abril;Assentamento;Instalado;GESAC
40484;PA;1502707;Conceição do Araguaia;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Conceicao Do Araguaia;Posto de Fronteira;Instalado;GESAC
40485;PA;1502509;Chaves;Rural;Mb/Radio Farol De Canivete;Posto de Fronteira;Instalado;GESAC
40486;PA;1502400;Castanhal;Rural;EMEIEF JOSE HENRIQUE DE ARAUJO;Escola;Instalado;GESAC
40491;PA;1501907;Bujaru;Urbano;POLO UAB ESCOLA MUNICIPAL MARIA JOSE FARO;UAB;Instalado;GESAC
40492;PA;1501808;Breves;Urbano;E M E F MIGUEL BITAR;Escola;Instalado;GESAC
40494;PA;1501808;Breves;Rural;Eb/Tiro De Guerra De Breves;Posto de Fronteira;Instalado;GESAC
40497;PA;1501709;Bragança;Urbano;Eb/Tiro De Guerra De Braganca;Posto de Fronteira;Instalado;GESAC
40499;PA;1501451;Belterra;Urbano;TELECENTRO DE INCLUSÃO DIGITAL DE MAGUARI;Telecentro;Instalado;GESAC
40500;PA;1501451;Belterra;Rural;E M E F SAO JORGE;Escola;Instalado;GESAC
40501;PA;1500859;Anapu;Rural;Associacao Da Casa Familiar Rural De Anapu;Assentamento;Instalado;GESAC
40507;PA;1500107;Abaetetuba;Urbano;Eb/Tiro De Guerra De Abaetetuba;Posto de Fronteira;Instalado;GESAC
40508;MT;5105507;Vila Bela da Santíssima Trindade;Rural;Eb/Destacamento / 2 B Fron  Sao Simao;Posto de Fronteira;Instalado;GESAC
40509;MT;5108402;Várzea Grande;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Cuiaba;Posto de Fronteira;Instalado;GESAC
40512;MT;5107859;São Félix do Araguaia;Urbano;Mb/Agencia Fluvial De Sao Felix Do Araguaia;Posto de Fronteira;Instalado;GESAC
40513;MT;5107859;São Félix do Araguaia;Rural;POLO BASE DE SAUDE INDIGENA DIAUARUM;Unidade de Saúde;Instalado;GESAC
40514;MT;5107040;Primavera do Leste;Rural;CME CARLOS DRUMMOND DE ANDRADE;Escola;Instalado;GESAC
40515;MT;5106828;Porto Esperidião;Rural;Eb/Destacamento / 2 B Fron  Fortuna;Posto de Fronteira;Instalado;GESAC
40516;MT;5106828;Porto Esperidião;Rural;Eb/Destacamento / 2 B Fron  Santa Rita;Posto de Fronteira;Instalado;GESAC
40517;MT;5106505;Poconé;Rural;EM NOSSA SENHORA APARECIDA;Escola;Instalado;GESAC
40518;MT;5106505;Poconé;Urbano;EMPG JOAO GODOFREDO DA SILVA;Escola;Instalado;GESAC
40520;MT;5108956;Nova Monte Verde;Urbano;EMEF DOM JOAO VI;Escola;Instalado;GESAC
40522;MT;5105200;Juscimeira;Rural;EM CHICO MENDES;Escola;Instalado;GESAC
40523;MT;5104906;Jangada;Rural;EMCEB SEVERIANO VIEIRA DA SILVA;Escola;Instalado;GESAC
40525;PA;1505031;Novo Progresso;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Cachimbo;Posto de Fronteira;Instalado;GESAC
40526;MT;5103304;Comodoro;Rural;Eb/Destacamento / 2 B Fron  Retiro Confap;Posto de Fronteira;Instalado;GESAC
40527;MT;5103205;Colíder;Rural;EM SANTA MARIA DO OURO VERDE;Escola;Instalado;GESAC
40528;MT;5103007;Chapada dos Guimarães;Rural;Fab/Destacamento De Controle Do Espaco Aereo  Gi;Posto de Fronteira;Instalado;GESAC
40529;MT;5102504;Cáceres;Rural;EM LARANJEIRA I;Escola;Instalado;GESAC
40530;MT;5102504;Cáceres;Urbano;Eb/2 Batalhao De Fronteira;Posto de Fronteira;Instalado;GESAC
40532;MT;5102504;Cáceres;Rural;Eb/Destacamento / 2 B Fron  Corixa;Posto de Fronteira;Instalado;GESAC
40533;MT;5101803;Barra do Garças;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Bw;Posto de Fronteira;Instalado;GESAC
40534;MT;5100250;Alta Floresta;Urbano;Eb/Tiro De Guerra De Alta Floresta;Posto de Fronteira;Instalado;GESAC
40537;MS;5007901;Sidrolândia;Rural;Associacao Da Uniao Dos Agricultores Familiares Do Assentamento Jiboia ;Assentamento;Instalado;GESAC
40538;MS;5006903;Porto Murtinho;Urbano;Eb/Destacamento / 2 B Fron  Barranco Branco;Posto de Fronteira;Instalado;GESAC
40539;MS;5006903;Porto Murtinho;Urbano;Eb/Destacamento / 2 Cia De Fronteira  Ingazeira;Posto de Fronteira;Instalado;GESAC
40540;MS;5006903;Porto Murtinho;Rural;EMR DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL BONIFACIO GOMES POLO E EXTENSOES;Escola;Instalado;GESAC
40545;MS;5005004;Jardim;Urbano;Eb/4 Companhia De Engenharia De Combate Mecanizada;Posto de Fronteira;Instalado;GESAC
