NR_VOTAVEL;CD_CANDIDATO;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
13413;893508582;DEPUTADO ESTADUAL;JOÃO ALFREDO DE OLIVEIRA;13;PARTIDO DOS TRABALHADORES;31/01/1965;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A)
30310;893494629;DEPUTADO ESTADUAL;SILVANA MARQUES MONTEIRO;30;PARTIDO NOVO;14/11/1966;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A)
90300;893616310;DEPUTADO ESTADUAL;ARLINDO DE OLIVEIRA CAMARGO;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;12/10/1949;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SOLTEIRO(A)
27133;893589350;DEPUTADO ESTADUAL;ANTONIO GENARO PEREIRA DA SILVA;27;DEMOCRACIA CRISTÃ;01/05/1963;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);DIVORCIADO(A)
12736;893540479;DEPUTADO ESTADUAL;JOSÉ NELSON DA SILVA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;23/06/1965;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
29292;893597392;DEPUTADO ESTADUAL;CARLOS AUGUSTO RODRIGUES;29;PARTIDO DA CAUSA OPERÁRIA;27/03/1959;MASCULINO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SOLTEIRO(A)
21;893535386;VICE-GOVERNADOR;MANOEL MESSIAS PEREIRA;21;PARTIDO COMUNISTA BRASILEIRO;16/08/1955;MASCULINO;SUPERIOR COMPLETO;PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
55135;893501887;DEPUTADO ESTADUAL;JULIANA SOARES DE PAULA;55;PARTIDO SOCIAL DEMOCRÁTICO;30/03/1970;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
35482;893539105;DEPUTADO ESTADUAL;SUELI GUETE AGUIAR;35;PARTIDO DA MULHER BRASILEIRA;28/01/1956;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
7774;893502907;DEPUTADO FEDERAL;SILÉA BENEDETTI DE MACEDO PEDROSO;77;SOLIDARIEDADE;05/03/1969;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
3024;893494546;DEPUTADO FEDERAL;MARIA DE FÁTIMA PAULA BAULÉ;30;PARTIDO NOVO;16/07/1958;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
22711;893506992;DEPUTADO ESTADUAL;ANITA DOS SANTOS TAKAIYASU;22;PARTIDO LIBERAL;25/05/1954;FEMININO;SUPERIOR COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
4475;893498866;DEPUTADO FEDERAL;JANDIRA DE MENEZES CREPALDI;44;UNIÃO BRASIL;17/07/1948;FEMININO;SUPERIOR COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);VIÚVO(A)
51250;893518313;DEPUTADO ESTADUAL;JOSE BENTO DE JESUS;51;PATRIOTA;18/11/1972;MASCULINO;LÊ E ESCREVE;BRANCA;OUTROS;CASADO(A)
90666;893616315;DEPUTADO ESTADUAL;EBION PEREIRA DA COSTA;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;23/06/1972;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
3333;893510793;DEPUTADO FEDERAL;JOÃO FRANCISCO GARCIA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;04/10/1960;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
1488;893628719;DEPUTADO FEDERAL;ORLANDO GALATI;14;PARTIDO TRABALHISTA BRASILEIRO;19/04/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
10220;893620978;DEPUTADO ESTADUAL;MARCO AURELIO MOREIRA ROQUE;10;REPUBLICANOS;27/07/1976;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;DIVORCIADO(A)
44999;893498938;DEPUTADO ESTADUAL;RENATO DE SOUZA BATTISTA;44;UNIÃO BRASIL;16/01/1995;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
18717;893516144;DEPUTADO ESTADUAL;ANTOINE BALADY;18;REDE SUSTENTABILIDADE;24/07/1968;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
90100;893616327;DEPUTADO ESTADUAL;CARLOS ALBERTO DE ZAGOTTIS SAAD;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;20/12/1961;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
28122;893596680;DEPUTADO ESTADUAL;WALTER NOLA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18/01/1956;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
40153;893517465;DEPUTADO ESTADUAL;LUCAS DE OLIVEIRA CARDOSO;40;PARTIDO SOCIALISTA BRASILEIRO;12/08/1984;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
33258;893540118;DEPUTADO ESTADUAL;ANTÔNIO SANTANA DA SILVA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;15/02/1961;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
3536;893532774;DEPUTADO FEDERAL;AGNALDO JOSÉ DOS SANTOS;35;PARTIDO DA MULHER BRASILEIRA;17/01/1969;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
3353;893510794;DEPUTADO FEDERAL;JONATHAN PEREIRA DE SOUZA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;01/09/1994;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
44544;893498928;DEPUTADO ESTADUAL;MAURICIO MENNA BARRETO GASPARINI;44;UNIÃO BRASIL;23/11/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
44470;893498934;DEPUTADO ESTADUAL;WERMESON PEREIRA DA SILVA;44;UNIÃO BRASIL;04/04/1988;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
2215;893508187;DEPUTADO FEDERAL;ROBSON LIEBETANZ DZELVE CALABIANQUI JUNIOR;22;PARTIDO LIBERAL;28/08/1996;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
22338;893506978;DEPUTADO ESTADUAL;ROGÉRIO DA SILVA SANTOS;22;PARTIDO LIBERAL;05/10/1970;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
36175;893618202;DEPUTADO ESTADUAL;DERIONERIO OLIVEIRA DE ASSIS;36;AGIR;17/09/1975;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
70800;893518523;DEPUTADO ESTADUAL;DONIZETE NATAL PONTES;70;AVANTE;25/12/1972;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
36016;893618168;DEPUTADO ESTADUAL;ELIZEU RODRIGUES VARELA;36;AGIR;11/07/1973;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
70770;893518561;DEPUTADO ESTADUAL;ANTONIO GILBERTO DA SILVA;70;AVANTE;15/04/1966;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
28388;893596648;DEPUTADO ESTADUAL;ANTONIO TARCIDO MARQUES FERNANDES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;26/09/1974;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
50420;893516210;DEPUTADO ESTADUAL;FERNANDO TAVARES ARAÚJO DA SILVA;50;PARTIDO SOCIALISMO E LIBERDADE;03/03/1985;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
3517;893532777;DEPUTADO FEDERAL;JUAREZ DE CARVALHO COSTA;35;PARTIDO DA MULHER BRASILEIRA;04/12/1976;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
1474;893501693;DEPUTADO FEDERAL;BOLIVAR FUNDÃO FILHO;14;PARTIDO TRABALHISTA BRASILEIRO;08/07/1963;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
1380;893507486;DEPUTADO FEDERAL;JILMAR AUGUSTINHO TATTO;13;PARTIDO DOS TRABALHADORES;25/06/1965;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
2006;893540697;DEPUTADO FEDERAL;JOAQUIM TOMAZ DOS SANTOS;20;PARTIDO SOCIAL CRISTÃO;29/07/1955;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;SOLTEIRO(A)
36033;893618154;DEPUTADO ESTADUAL;JORGE MOTTA CARNEIRO;36;AGIR;15/07/1972;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
33007;893540110;DEPUTADO ESTADUAL;SEBASTIÃO DE MESQUITA SILVA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;20/01/1971;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
28765;893596699;DEPUTADO ESTADUAL;LUCAS MARIANO DE CAMPOS;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;14/12/1986;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
28056;893596694;DEPUTADO ESTADUAL;THIAGO FELIPE NEVES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;05/07/1984;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
14851;893511732;DEPUTADO ESTADUAL;JURACILDE DE LIMA PINTO;14;PARTIDO TRABALHISTA BRASILEIRO;17/01/1973;MASCULINO;ENSINO MÉDIO INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
1199;893508788;DEPUTADO FEDERAL;EDICARLOS VIEIRA;11;PROGRESSISTAS;11/02/1979;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
3688;893613979;DEPUTADO FEDERAL;MARIO JOSE DE SOUZA;36;AGIR;21/09/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
77345;893503071;DEPUTADO ESTADUAL;WILLIAM CLEMENTE CORREA;77;SOLIDARIEDADE;29/04/1978;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
11890;893509115;DEPUTADO ESTADUAL;ALBERTO SABINO DE OLIVEIRA;11;PROGRESSISTAS;06/04/1947;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
28280;893596617;DEPUTADO ESTADUAL;CLAUDIO MARTINS NEVES DE FRANCA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;25/04/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
36779;893618176;DEPUTADO ESTADUAL;JOSE DE OLIVEIRA LEME FILHO;36;AGIR;08/07/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
11900;893509149;DEPUTADO ESTADUAL;KLEBER FERREIRA MARUXO;11;PROGRESSISTAS;08/10/1973;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
1447;893501656;DEPUTADO FEDERAL;MARCILIO DUARTE LIMA;14;PARTIDO TRABALHISTA BRASILEIRO;22/03/1941;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;VIÚVO(A)
35099;893539110;DEPUTADO ESTADUAL;JOÃO DA CONCEIÇÃO SILVA PAP;35;PARTIDO DA MULHER BRASILEIRA;22/07/1951;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
4022;893517116;DEPUTADO FEDERAL;WESLEY CASA FORTE MARIANO;40;PARTIDO SOCIALISTA BRASILEIRO;08/12/1979;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
28528;893596704;DEPUTADO ESTADUAL;FABIAN ALVES RAMOS;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18/12/1967;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
2268;893508180;DEPUTADO FEDERAL;MAURICIO BERNARDINO SOARES;22;PARTIDO LIBERAL;30/07/1978;MASCULINO;SUPERIOR COMPLETO;PRETA;OUTROS;CASADO(A)
44677;893498989;DEPUTADO ESTADUAL;RODRIGO ADRIANO DA SILVA;44;UNIÃO BRASIL;24/06/1980;MASCULINO;SUPERIOR COMPLETO;PARDA;OUTROS;CASADO(A)
23623;893508271;DEPUTADO ESTADUAL;ROBERTO TURCHI DE MORAIS;23;CIDADANIA;29/07/1959;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
12300;893540492;DEPUTADO ESTADUAL;ANTONIO CARLOS TRIGO;12;PARTIDO DEMOCRÁTICO TRABALHISTA;03/08/1967;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
3610;893613980;DEPUTADO FEDERAL;MOACIR RODRIGUES FERNANDES;36;AGIR;22/04/1964;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
2111;893537410;DEPUTADO FEDERAL;EDUARDO DIAS REAL;21;PARTIDO COMUNISTA BRASILEIRO;30/01/1987;MASCULINO;SUPERIOR INCOMPLETO;PARDA;OUTROS;SOLTEIRO(A)
2815;893612709;DEPUTADO FEDERAL;REGINALDO BELARMINO DA SILVA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;09/04/1968;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
28456;893596619;DEPUTADO ESTADUAL;ADEMILSON RAMOS DA SILVA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;17/09/1969;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
33912;893540130;DEPUTADO ESTADUAL;JOSÉ LUIZ ALVES NETO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;13/01/1974;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;CASADO(A)
40345;893548919;DEPUTADO ESTADUAL;ANDERSON FREITAS BARBOSA PASSOS;40;PARTIDO SOCIALISTA BRASILEIRO;03/10/1987;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
3661;893613998;DEPUTADO FEDERAL;ROBERVAL BARBOSA DE JESUS;36;AGIR;03/01/1977;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA;OUTROS;CASADO(A)
70300;893518601;DEPUTADO ESTADUAL;MATIAS GERALDO MUNIZ;70;AVANTE;28/10/1975;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PRETA;OUTROS;CASADO(A)
36017;893618193;DEPUTADO ESTADUAL;ALENATO MARTINS VIDAL;36;AGIR;17/02/1961;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA;OUTROS;DIVORCIADO(A)
4416;893498889;DEPUTADO FEDERAL;LUSINEIDE NEVES BARRETO;44;UNIÃO BRASIL;16/07/1965;FEMININO;LÊ E ESCREVE;PARDA;OUTROS;SOLTEIRO(A)
44767;893498960;DEPUTADO ESTADUAL;CECILIA CLAUDINO GOMES DO AMARAL PEREIRA;44;UNIÃO BRASIL;22/02/1956;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
22400;893506957;DEPUTADO ESTADUAL;MARILZA JOANA GARCIA DE MELO;22;PARTIDO LIBERAL;24/06/1969;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
35789;893539076;DEPUTADO ESTADUAL;VALDIRENE SANTOS DA SILVA;35;PARTIDO DA MULHER BRASILEIRA;29/08/1969;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
12008;893540432;DEPUTADO ESTADUAL;PATRYCIA FACIOLO DOS SANTOS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;01/08/2000;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
1967;893507154;DEPUTADO FEDERAL;VALDETE GOMES DUTRA PEREIRA;19;PODEMOS;19/01/1971;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
5520;893501774;DEPUTADO FEDERAL;CÉLIA RAMOS DE JESUS FEITOSA;55;PARTIDO SOCIAL DEMOCRÁTICO;25/08/1975;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;DIVORCIADO(A)
3628;893613999;DEPUTADO FEDERAL;VIVIANE RODRIGUES DA SILVA AUGUSTO;36;AGIR;22/08/1968;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
3674;893613993;DEPUTADO FEDERAL;DAGMAR PEREIRA DE SOUZA MOITINHO DE LIMA CRUZ;36;AGIR;19/07/1976;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
7791;893502922;DEPUTADO FEDERAL;LORENY MAYARA CAETANO ROBERTO;77;SOLIDARIEDADE;11/07/1991;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
3624;893613975;DEPUTADO FEDERAL;LUCIANE SANDRA CAMBUIM;36;AGIR;11/04/1971;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
2079;893540721;DEPUTADO FEDERAL;ANA PAULA TOSIN;20;PARTIDO SOCIAL CRISTÃO;21/07/1981;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
33133;893540116;DEPUTADO ESTADUAL;ALESSANDRA VECCHIO SOBRINHO;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;12/03/1977;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
36117;893618200;DEPUTADO ESTADUAL;SILMARA CRISTIANE DA SILVA POMPOLLO;36;AGIR;01/03/1976;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
11321;893509122;DEPUTADO ESTADUAL;ELISANGELA ALCANTARA DA SILVA GONZALEZ;11;PROGRESSISTAS;04/11/1980;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
7001;893518939;DEPUTADO FEDERAL;NORMA ELIZA HIROKO OTANI MORATO;70;AVANTE;18/11/1984;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
3623;893613988;DEPUTADO FEDERAL;SÔNIA MELHADO DE MORAIS;36;AGIR;16/03/1973;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
2824;893612731;DEPUTADO FEDERAL;JESSICA PASCOAL ALVES;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;19/04/1993;FEMININO;ENSINO MÉDIO COMPLETO;PRETA;OUTROS;CASADO(A)
77241;893503102;DEPUTADO ESTADUAL;MARIA DE LOURDES DO NASCIMENTO NUNES;77;SOLIDARIEDADE;01/06/1971;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA;OUTROS;CASADO(A)
1822;893510629;DEPUTADO FEDERAL;PATRICIA SILVA ZANELLA;18;REDE SUSTENTABILIDADE;05/05/1996;FEMININO;SUPERIOR COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
50300;893516180;DEPUTADO ESTADUAL;KEITCHELE LIMA DA SILVA;50;PARTIDO SOCIALISMO E LIBERDADE;08/04/1991;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;SOLTEIRO(A)
2075;893540724;DEPUTADO FEDERAL;MARIA DA GUIA ALVES DA ROCHA;20;PARTIDO SOCIAL CRISTÃO;28/02/1975;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;VIÚVO(A)
22200;893506987;DEPUTADO ESTADUAL;DONIZETE ALVES BARBOSA;22;PARTIDO LIBERAL;24/11/1975;FEMININO;SUPERIOR COMPLETO;PRETA;OUTROS;CASADO(A)
70088;893518550;DEPUTADO ESTADUAL;KELLY VESCO MOZZONE;70;AVANTE;27/12/1977;FEMININO;SUPERIOR COMPLETO;BRANCA;OUTROS;SEPARADO(A) JUDICIALMENTE
55055;893501832;DEPUTADO ESTADUAL;CAROLINE STEINMETZ;55;PARTIDO SOCIAL DEMOCRÁTICO;03/02/1976;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
2272;893508185;DEPUTADO FEDERAL;ANA SILVIA GOES DE SOUZA;22;PARTIDO LIBERAL;12/05/1980;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
800;893498836;2º SUPLENTE;SELMA MARIA DE ALMEIDA;80;UNIDADE POPULAR;23/10/1972;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
11022;893509112;DEPUTADO ESTADUAL;LETICIA AGUIAR RESENDE ALVES;11;PROGRESSISTAS;16/05/1980;FEMININO;SUPERIOR INCOMPLETO;BRANCA;OUTROS;CASADO(A)
11227;893509089;DEPUTADO ESTADUAL;MARIA APARECIDA DE JESUS;11;PROGRESSISTAS;27/07/1956;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
4590;893547398;DEPUTADO FEDERAL;ERIKA FERNANDA MATOS DOS SANTOS;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;13/01/1994;FEMININO;SUPERIOR INCOMPLETO;PRETA;OUTROS;SOLTEIRO(A)
14567;893511710;DEPUTADO ESTADUAL;LILIANE MARIA DA SILVA PAES;14;PARTIDO TRABALHISTA BRASILEIRO;14/12/1986;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;CASADO(A)
10699;893536395;DEPUTADO ESTADUAL;AUREA ROCHA;10;REPUBLICANOS;23/06/1950;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
14113;893511789;DEPUTADO ESTADUAL;KATIA REGINA ROSA GOMES;14;PARTIDO TRABALHISTA BRASILEIRO;04/09/1972;FEMININO;SUPERIOR COMPLETO;PRETA;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;SOLTEIRO(A)
2023;893540705;DEPUTADO FEDERAL;CARLOS ALBERTO VEIGA DE QUADROS;20;PARTIDO SOCIAL CRISTÃO;22/02/1972;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA;CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;CASADO(A)
3021;893494545;DEPUTADO FEDERAL;MARCO ANTONIO DE SOUZA PINTO;30;PARTIDO NOVO;12/09/1963;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;DIVORCIADO(A)
33000;893540095;DEPUTADO ESTADUAL;LUCCAS SANTOS DA CUNHA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;13/12/1996;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;SOLTEIRO(A)
1423;893501698;DEPUTADO FEDERAL;RODRIGO PIERNAS ANDOLFATO;14;PARTIDO TRABALHISTA BRASILEIRO;23/02/1975;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;CASADO(A)
3010;893494524;DEPUTADO FEDERAL;HUMBERTO JANTIM NETO;30;PARTIDO NOVO;03/07/1982;MASCULINO;SUPERIOR COMPLETO;BRANCA;ENGENHEIRO;SOLTEIRO(A)
